area,year,month,CACI,component_count,T90,T10,P,D,W
Province:Liaoning,1987,12,0.6180172528215191,5,2.281039750446906,-0.9583300490758645,-0.9756300484280016,-0.9865937027488836,1.8129402157617105
Province:Liaoning,1988,1,0.1509447282494498,5,1.3326339461844503,-0.6899978161993051,-0.8121299120125675,-1.1145442237946135,0.6587660146706745
Province:Liaoning,1988,2,-0.2522706326165234,5,-0.9319637664214593,0.6903650589003076,-0.8695362444501396,-0.973718524372004,2.2042304310612932
Province:Liaoning,1988,3,-0.9340275937515197,5,-0.9454338427206709,1.5022764013593504,-0.9638818062772883,-0.8110860535643664,-0.44745986483592237
Province:Liaoning,1988,4,-0.6555914984553513,5,-0.39404132774041467,1.4736450546247837,-0.707278146687155,-0.6269700324540268,-0.0760229307703753
Province:Liaoning,1988,5,-0.22763664506238213,5,-0.7376229083548543,0.016642280974065997,-0.5559667906679635,-0.42391018930890495,0.595958943993878
Province:Liaoning,1988,6,-0.5257844122573451,5,-0.3422348578765374,-0.23582291862121862,-1.2454911797643802,-0.20699166368277158,-1.0700272785842544
Province:Liaoning,1988,7,-0.12864210701389972,5,-0.29186988988066137,-0.3198129398825911,-0.7531428626572727,0.016485887367162527,0.06550339021868183
Province:Liaoning,1988,8,0.21716255355759423,5,1.4437265329517537,0.4645145620920708,-0.8572126909456438,0.23809156554003627,0.7257219223338958
Province:Liaoning,1988,9,-0.09832557416469054,5,-1.0052749249855506,-1.0153907587420092,-0.02358845807093849,0.4497806436872727,-0.9279358901962456
Province:Liaoning,1988,10,0.4090128253971274,5,0.12177065594539718,-1.1264384255515016,-0.5429105766227649,0.6452503540032702,0.6945152681082327
Province:Liaoning,1988,11,0.5486815960129983,5,-0.4094375773942144,-0.9856043830403206,-1.078078447536458,0.8206479940664496,2.4246716278888933
Province:Liaoning,1988,12,-0.05466730141028393,5,-0.17073720196846823,-0.9105154090553472,-0.7652100824398388,-0.4910179894750404,0.2431133577765805
Province:Liaoning,1989,1,1.1263607991047497,5,1.4958968143182945,-0.9411976622383811,0.7117465520887333,1.1318596310230926,1.351103335855247
Province:Liaoning,1989,2,0.3473062202192912,5,-0.07281858339946998,-0.9694415122721118,-0.9328058883086732,1.1329703442525816,0.6397437162799059
Province:Liaoning,1989,3,0.7989708381962126,5,0.393875956291901,-1.0235177030063978,-0.22768130604460912,1.1249428023457164,1.6801990353816572
Province:Liaoning,1989,4,0.24319387950731391,5,0.7599479879637504,-1.0121206856054301,-1.2532711317719214,1.1053803490214622,-0.40820849328215175
Province:Liaoning,1989,5,0.7306558320257359,5,1.7178750006983636,-0.8976166334645964,-0.8878826336015441,1.0723246128093025,0.8533455467579613
Province:Liaoning,1989,6,0.3688672000463171,5,-0.014648583573542505,0.3996336601457064,-0.9880303281462507,1.024823778113496,2.2218247939835893
Province:Liaoning,1989,7,0.27967320387585753,5,-0.7114717945492295,0.7085982312907361,0.643147546756055,0.9634034908244359,1.2118850076387624
Province:Liaoning,1989,8,-0.31515680355587333,5,0.25757285831212773,0.4280872436515691,-1.9545035953293028,0.890189492109008,-0.3409555292196307
Province:Liaoning,1989,9,-0.3412499378571098,5,-1.3312534432258891,0.8603914196798496,-0.5083299018920792,0.8085582577993216,0.18516681771294702
Province:Liaoning,1989,10,0.1742986031169182,5,0.01657376653538448,0.44235682014965133,-0.8016373636195886,0.7224404361054637,1.3764729967129827
Province:Liaoning,1989,11,0.05864903229937566,5,-0.5944613633397531,-0.33082364506573725,-0.9273547105189733,0.6355767980956407,0.8486607921942267
Province:Liaoning,1989,12,-0.0818466582770792,5,-0.15792087499851146,-0.5912803880786685,-0.9664470341578028,0.8138701367926745,-0.6900159071004247
Province:Liaoning,1990,1,0.14737192488799064,5,-0.4662250935715157,2.03498034467695,1.287272499707089,0.4915577252814996,1.4592348376998303
Province:Liaoning,1990,2,0.7399751526885352,5,0.34233403475262436,-0.4983527026413389,2.1401098628857946,0.3143460023344165,0.4047331608285013
Province:Liaoning,1990,3,0.4073800579797954,5,0.7743105014036246,-1.2279733346444297,0.5471461141905927,0.11712860555842017,-0.6296582658980897
Province:Liaoning,1990,4,0.14935286626828487,5,-0.4709738984648234,0.7659729385256985,-0.15272210180649448,-0.09777572387037613,2.234208994008817
Province:Liaoning,1990,5,-0.7260030165418232,5,-0.9294422181888553,2.0882234784755958,0.20031591738500223,-0.32562303397974407,-0.48704226944992324
Province:Liaoning,1990,6,-0.022794184849745935,5,-0.7700559861581872,0.40988577916642505,0.5071183040430338,-0.5592861873543183,1.1181387243871672
Province:Liaoning,1990,7,-0.1103153117921007,5,-0.363299949888216,0.1523227906285558,-1.2858692296055882,-0.7900452454517047,2.0399606566135615
